increased in hrde-1 at 15C 2,Input,Suggested Match,History
F58H7.5,F58H7.5,WBGene00019070,Public name for WBGene00019070. History: N.A.
W03H9.2,W03H9.2,WBGene00012228,Public name for WBGene00012228. History: N.A.
F55B11.6,F55B11.6,WBGene00044249,Public name for WBGene00044249. History: N.A.
F41G4.7,F41G4.7,WBGene00018310,"Public name for WBGene00018310. History: Split into F41G4.13(WBGene00304806). History of WBGene00018310: Split into ""WBGene00304806"" on 2019-05-20"
Y61A9LA.12,Y61A9LA.12,WBGene00044586,Public name for WBGene00044586. History: N.A.
K06B9.4,K06B9.4,WBGene00019441,Public name for WBGene00019441. History: N.A.
D2096.1,D2096.1,WBGene00017069,Sequence name for WBGene00017069(timm-17B.2). History: N.A.
B0391.10,B0391.10,WBGene00007165,Public name for WBGene00007165. History: N.A.
bath-45,bath-45,WBGene00009247,Public name for WBGene00009247. History: N.A.
C41D11.6,C41D11.6,WBGene00016565,Sequence name for WBGene00016565(sosi-1). History: N.A.
F37H8.2,F37H8.2,WBGene00009511,Public name for WBGene00009511. History: N.A.
F16B4.6,F16B4.6,WBGene00017508,Public name for WBGene00017508. History: N.A.
C40A11.8,C40A11.8,WBGene00016551,Public name for WBGene00016551. History: N.A.
C27D8.3,C27D8.3,WBGene00007779,Public name for WBGene00007779. History: N.A.
nhr-15,nhr-15,WBGene00003614,Public name for WBGene00003614. History: N.A.
K02E7.2,K02E7.2,,Sequence name for Suppressed gene WBGene00019307. Molecular name for Suppressed gene WBGene00019307. Public name for Suppressed gene WBGene00019307. History of WBGene00019307: Killed on 2009-04-15; Suppressed on 2013-03-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
K02E7.3,K02E7.3,,Sequence name for Suppressed gene WBGene00019308. Molecular name for Suppressed gene WBGene00019308. Public name for Suppressed gene WBGene00019308. History of WBGene00019308: Killed on 2009-04-15; Suppressed on 2012-11-15. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
W09H1.4,W09H1.4,WBGene00012374,Public name for WBGene00012374. History: N.A.
ife-5,ife-5,WBGene00002063,Public name for WBGene00002063. History: N.A.
rnh-1.3,rnh-1.3,WBGene00007303,Public name for WBGene00007303. History: N.A.
F07B7.1,F07B7.1,WBGene00017185,Public name for WBGene00017185. History: N.A.
F07B7.2,F07B7.2,WBGene00017186,Public name for WBGene00017186. History: N.A.
ZC15.3,ZC15.3,WBGene00013832,Public name for WBGene00013832. History: N.A.
F53H10.2,F53H10.2,WBGene00010012,Sequence name for WBGene00010012(saeg-1). History: N.A.
C38D9.2,C38D9.2,WBGene00008010,Public name for WBGene00008010. History: N.A.
C18H2.1,C18H2.1,WBGene00015988,"Sequence name for WBGene00015988(lido-18). History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
C08F11.7,C08F11.7,WBGene00007454,Public name for WBGene00007454. History: N.A.
clec-52,clec-52,WBGene00015052,Public name for WBGene00015052. History: N.A.
ZK262.8,ZK262.8,WBGene00013953,Public name for WBGene00013953. History: N.A.
T23G5.6,T23G5.6,WBGene00011964,Sequence name for WBGene00011964(saeg-2). History: N.A.
Y55F3C.6,Y55F3C.6,,"Sequence name for Suppressed gene WBGene00043707. Molecular name for Suppressed gene WBGene00043707. Public name for Suppressed gene WBGene00043707. History of WBGene00043707: Killed on 2004-10-04; Resurrected on 2005-09-09; Split into ""WBGene00044766"" on 2006-02-24; Suppressed on 2012-11-15. Remark: The corresponding CDS object for this gene had been created and removed before WormBase introduced the concept of unique gene identifiers.  This (dead) gene object exists as an attempt to make sure that a gene ID exists for every worm gene prediction that has ever existed....This gene has been resurrected because it may be a member of a small gene family and should not have been removed....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene."
C34C12.1,C34C12.1,WBGene00007920,Public name for WBGene00007920. History: N.A.
W03G1.4,W03G1.4,,Sequence name for Suppressed gene WBGene00043538. Molecular name for Suppressed gene WBGene00043538. Public name for Suppressed gene WBGene00043538. History of WBGene00043538: Killed on 2004-10-04; Resurrected on 2005-09-09; Killed on 2011-01-21; Suppressed on 2013-07-30. Remark: The corresponding CDS object for this gene had been created and removed before WormBase introduced the concept of unique gene identifiers.  This (dead) gene object exists as an attempt to make sure that a gene ID exists for every worm gene prediction that has ever existed....[050610 pad] Automatic assignment of Sequence_name connection using info taken from Public_name tags....This gene has been resurrected because it may be a member of a small gene family and should not have been removed....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
